Name,Total Population Female
North West,723044
North West,98270
North West,624774
Lam Pur,1248
Mamoor Pur,8700
Singhu,2000
Singhola,1097
Hamid Pur,1620
Taj Pur Kalan,1629
Akbar Pur Majra,1612
Palla,1893
Qullak Pur,289
Jhangola,1534
Sunger Pur Shahdara  (un-inhabited),0
Sunger Pur Delhi,789
Tigi Pur ,920
Fateh Pur Jat,38
Kham Pur,948
Shah Pur Garhi,1041
Kureni,1340
Raja Pur Kalan (Un-inhabited),0
Sanoth ,1757
Ghoga ,1793
Hareoli,1297
Ochandi,2141
Mungesh Pur,1507
Katewara,1620
Bazid Pur Thakran,2044
Nangal Thakran ,1938
Sultan Pur Dabas,2069
Iradat Nagar alias Naya Bans,1260
Holambi Khurd,3421
Holambi Kalan,19459
Zind Pur,1240
Hiranki,1773
Mohd. Pur Ramzan Pur,772
Tehri Daulat Pur (Un-inhabited),0
Garhi Khasru,1330
Nangli Poona,1690
Bodh Pur Bija Pur,1616
Kankar Khera,53
Pansali,1737
Punjab Khor,1513
Jat Khor,954
Salah Pur Majra,989
Budhan Pur,821
Chand Pur,849
Madan Pur Dabas,1518
Rasool Pur,701
Saoda,7619
Chatesar,1084
Jonti,2371
Garhi Rindhala,853
Nizam Pur Rashid Pur,1783
Shanjar Pur(un-inhabited),0
Bankner (CT),6746
Bhor Garh (CT),3812
Tikri Khurd (CT),6137
Bakhtawar Pur (CT),5920
Bankauli (CT),2386
Ali Pur (CT),9115
Mukhmel Pur (CT),2282
Ibrahim Pur (CT),4906
Qadi Pur (CT),8482
Libas Pur (CT),20316
Siras Pur (CT),13737
Khera Kalan (CT),3855
Sahibabad Daulat Pur (CT),24371
Pehlad Pur Bangar (CT),10356
Khera Khurd (CT),4600
Barwala (CT),4165
Pooth Khurd (CT),4913
Bawana (CT),33422
Darya Pur Kalan (CT),2968
Qutab Garh (CT),3545
Lad Pur (CT),2558
Kanjhawala (CT),4802
Gheora (CT),3140
Rani Khera (CT),7513
Mubarak Pur Dabas (CT),5602
Kirari Suleman Nagar (CT),130863
Nithari (CT),23251
Mohammad Pur Majri (CT),8157
Karala (CT),16645
Begum Pur (CT),24643
Pooth Kalan (CT),44939
Sultan Pur Majra (CT),85867
Bhalswa Jahangir Pur (CT),90760
North East,495952
North East,9809
North East,486143
Badar Pur Khadar,370
Pur Delhi,141
Pur Shahdara,0
Saba Pur Delhi,2083
Saba Pur Shahdara,2912
Sadat Pur Musalmanan,47
Bihari Pur,1925
Sher Pur,1169
Garhi Mendu,1162
Sadat Pur Gujran (CT),44807
Baqiabad (CT),6805
Karawal Nagar (CT),104330
Dayal Pur (CT),9565
Jiwan Pur alias Johri Pur (CT),19945
Mustafabad (CT),60278
Khan Pur Dhani (CT),3325
Tukhmir Pur (CT),2629
Khajoori Khas (CT),36056
Mir Pur Turk (CT),9119
Ziauddin Pur (CT),32542
Gokal Pur (CT),57013
Babar Pur (CT),17399
Jaffrabad (CT),26072
Mandoli (CT),56258
North ,133325
North ,8200
North ,125125
Salem Pur Majra Burari,4795
Badar Pur Majra Burari,0
Jagat Pur ilaqa Shahdara (un-inhabited),0
Jagat Pur ilaqa Delhi,3405
Mukand Pur (CT),26327
Kamal Pur Majra Burari (CT),20047
Burari  (CT),68087
Jharoda Majra Burari  (CT),10664
 East,198222
 East,1669
 East,196553
Shamas Pur,1669
Shakar Pur Baramad (CT),496
Gharonda Neemka Bangar alias Patpar Ganj (CT),17870
Gharoli (CT),42866
Kondli (CT),17516
Dallo Pura (CT),73529
Chilla Saroda Bangar (CT),38545
Chilla Saroda Khadar (CT),5731
 West,307251
 West,3065
 West,304186
Neel Wal,1275
Jaffar Pur alias Hiran Kudna,1790
Hastsal (CT),82044
Raja Pur Khurd (CT),9024
Bapraula (CT),24362
Tilang Pur Kotla (CT),6306
Shafi Pur Ranhola (CT),14672
Nilothi (CT),20115
Nangloi Jat (CT),95540
Quammruddin Nagar (CT),11596
Mundka (CT),25068
Bakkar Wala (CT),8393
Tikri Kalan (CT),7066
 South West,231205
 South West,66334
 South West,164871
Dichaon Kalan,12702
Surakh Pur,294
Mundhela Khurd,1247
Mundhela Kalan,1227
Surera,1600
Kharkhari Nahar,610
Paprawat,2026
Goela Khurd,3136
Qutab Pur,11988
Taj Pur Khurd,502
Rewla Kham Pur,1451
Pindwala Kalan,1767
Kharkhari Jatmal,600
Khera Dabar,1246
Samas Pur Khalsa,1264
Baqar Garh,281
Isa Pur,2323
Qazi Pur,667
Malik Pur zer-Najafgarh,1292
Darya Pur Khurd,871
Sher Pur Deri,0
Kharkhari Rond,454
Hasan Pur,577
Daulat Pur,925
Pindwala Khurd,888
Kangan Heri,1799
Salah Pur,2092
Raghu Pur,69
Badhosra,925
Nanak Heri,382
Jhatikra,971
Asalat Pur Khawad,193
Shikar Pur,1310
Jain Pur(Un-inhabited),0
Goman Hera,1989
Jhuljhuli,778
Sarang Pur,493
Dhansa,3236
Ghalib Pur,544
Raota,1376
Deorala,239
Jharoda Kalan (CT),9177
Kair (CT),1853
Jaffar Pur Kalan (CT),3097
Ujwa (CT),2255
Mitraon (CT),3074
Khera (CT),3360
Dindar Pur (CT),16735
Roshan Pura alias Dichaon Khurd (CT),26743
Nangli Sakrawati (CT),17252
Chhawala (CT),6078
Moradabad Pahari (CT),10138
Kusum Pur (CT),7858
Malik Pur Kohi alias Rang Puri (CT),10765
Sambhalka (CT),7437
Kapas Hera (CT),23950
Rajokri (CT),8508
Ghitorni (CT),6591
 South ,395015
 South ,5374
 South ,389641
Gadai Pur,1368
Satberi,2628
Shahur Pur,1378
Aya Nagar (CT),15207
Jona Pur (CT),4788
Fateh Pur Beri (CT),4081
Dera Mandi (CT),7727
Bhati (CT),8750
Asola (CT),6115
Chandan Hola (CT),3057
Sultan Pur (CT),6960
Chattar Pur (CT),21539
Maidan Garhi (CT),5196
Raj Pur Khurd (CT),5112
Deoli (CT),78208
Neb Sarai (CT),7421
Saidul Azaib (CT),8273
Tigri (CT),21567
Saidabad (CT),4774
Kotla Mahigiran (CT),3546
Pul Pehlad (CT),31666
Taj Pul (CT),31618
Mithe Pur (CT),31969
Molar Band (CT),42031
Aali (CT),12503
Jait Pur (CT),27533
